label,tweet
SARCASM,right because most people take their kid with them to commit burglary so what if she is never seen him if there is ten people living there they have a hundred relation she is never seen before plus friend nobody owes her an explanation
SARCASM,song tune incl i love china v people chanting anti establishment slogan
SARCASM,say ppl who voted in a megalomaniacal reality tv star a lohan sux
SARCASM,a black man saying he wish for black genocide for christmas sound like a richard pryor joke
SARCASM,hilarious to see journalism org decrying fake news story
SARCASM,oh no i just told client there s a good chance of 90 return in stock over th next year no guarantee
SARCASM,yeah blocking out everyone who disagrees with you that is the pinacle of emotional maturity
SARCASM,high quality material do not allow u to price it lower of course it is not by corning we just like to use name of our strategic partner randomly
SARCASM,the here is so pervasive i almost liked it wanting to supplant 1 asserted bias with a different 1 of your own choosing that s hilarious but failing to acknowledge that the bias of your choosing already exists well that s the irony
SARCASM,true our policy maker never learn from past experience
SARCASM,nothing say nothing better than denise can not even decide what she support politically lol smh projection
SARCASM,all those black people being shot because they are poor who would have thought
SARCASM,they have zero say they can slow it down but not stop any because they changed the rule in 2014
SARCASM,the irony in this tweet lost on every trump supporter including the writer is priceless
SARCASM,democrat demand we judge each immigrant on their character yet you judge all republican a evil
SARCASM,but in my case the device failed to resist water when it wa taken in pool for the first time
SARCASM,ohhhh noooo we can not make billionaire pay their fair share we have to keep subsidizing them
SARCASM,take your hand off the wheel next time you re driving your car down the interstate and see how good of a pilot god is good luck
SARCASM,you have won it all by bloody cheating come to mind
SARCASM,that is exactly what i think too esp this 1 person who is known for being a big trend hopper
SARCASM,these crook campaigned on trudeaus medium manufactured scandal rich karma
SARCASM,imagine a trump sycophant talking about fidelity to anyone
SARCASM,lol you call yourself freedom zone and you takl about getting rid of public medium
SARCASM,thinking the same thing could not read about putting phone down without my phone
SARCASM,this is what i say about donald trump everyday mind blown oops
SARCASM,i would like to give you the benefit of the doubt but i do not set the rule a the boomtown rat sang you are guilty til proven guilty is not that the law guilty til proven guilty that is what we all saw
SARCASM,it is actually a think piece about racial identity and how you have to look deeper
SARCASM,he also cried during gamergate that game medium had ingroup and special access that tainted their journalism lol
SARCASM,son it s a swear word that adult use to emphasize a point anyway you re 10 yr old wtf you doing on twitter anyway i m deleting your account now put the gd phone down and get outside and play
SARCASM,1 i am not a white man i am native america paiute and 2 those guy dressed up a native
SARCASM,she did win the popular vote did she not and trump won the electorate vote lol
SARCASM,did not see that but read he wa bummed ab punch b c he should be safe at inaug
SARCASM,he managed to keep prayer out of school along with the please of allegiance
SARCASM,is not it a shame that hindu fanatic are spreading terror in iraq and syria just last week a certain hindu tried to kill few people on the london bridge jamal khasoggi wa murdered by a certain r worker osama bin laden wa a member of the bjp islamic fanatic
SARCASM,it is interesting that the same white voter in florida ohio and pennsylvania that voted for obama also voted for trump
SARCASM,insult city because they do not have a power saw then call city classless
SARCASM,you re right a black president in the u is a preposterous idea
SARCASM,the crazy follow and even threaten people in writing amazing sur ronde d by crazy
SARCASM,spanish fort al even the few bagger that where working where aggravated with grocery manager bawaneh i throughly enjoyed helping bag my grocery and placing the grocery in the cart
SARCASM,screw history who care if we make the same mistake a we did in the past
SARCASM,many of these same folk are bullying third party candidate and their supporter right now
SARCASM,yes under measure introduced by um amber rudd
SARCASM,the very people who could do with a good education
SARCASM,i wa going to ask the same thing by with an
SARCASM,part of the reason for that is that being a domme is legal whereas being a prostitute is not most dommes don t want to mix the two for legal reason which is cool but they don t get that those strap on session count a prostitution so they are legally hooker too
SARCASM,wait there is an election what election have not heard anything about an election lem me that
SARCASM,i guess that is what they proudly call fighting like a girl
SARCASM,i find it hilarious that you are boycotting something you were never going to watch
SARCASM,if you read the story it came from ricketts if you phone the right people you get the answer you will be given in the new year oh dear indeed not fake news
SARCASM,such shame that ppl like stand for pakistani actor but do not hv spine to stand for thr own hippocrates za ira wasim
SARCASM,it wa just a bit of based on today news regarding rkg funding imho we should have greater aspiration
SARCASM,boy oh boy you all are acting like sjws while accusing ben of acting like an sjw
SARCASM,i would pas it on to my source at greggs but she would only have it taken off her again by uc
SARCASM,i will be one of those people trying to get the closest parking spot to the entrance because i do not want to walk too far
SARCASM,yeah good luck with that being constructive is all i advocate not smashing your face against a brick wall
SARCASM,i find it comical that clemson is in the title game tonight and the only thing on your mind is me living rent free in your head
SARCASM,you are going to insult someone cleverness with that sentence structure
SARCASM,you seriously believe that thousand of ppl are concerned about this because of low iq consider your own
SARCASM,oh yes ulip or even better term with return of premium
SARCASM,want it so bad he also belief freddie should be traded and the rest of the team should be shot
SARCASM,i have been following him religiously but given his predilection to chop and change his political opinion it hard to tell without attached
SARCASM,too bad you are probably 1 out of a 100 people who have actually given a small dollar donation to her campaign maybe that will drop her average down from 2000 to 1990 per donor what grassroots progress
SARCASM,the problem with this badge is that the phrase independence day refers to a u holiday where they gained independence from the british and their army now we re coining the phrase to segregate ourselves from the eu bloc where we have access to great economic benefit
SARCASM,climate change sea level rise all the swamp will flood
SARCASM,word have meaning it s how we communicate for million of people for millennium on this planet the word woman in all it linguistic variation ha continues to mean biological female btw abusing people with opposing view to you is the actual definition of bigotry
SARCASM,sigh meghan ha to go helping those impacted by the grenfell fire in a way that empowers them developing a clothing line to help those indeed of business attire 4 interview bringing attention to uk charity 3 successful tour representing the uk it is all too much
SARCASM,say the guy who praised the original tweet
SARCASM,wow so glad twitter never notified me you replied yeah it is actually that blurry and i doubt anything can be done now because it is been a whole year
SARCASM,always nice to get a complement from an islamaphobe
SARCASM,hey snowflake shall we discus when changed rule used the nuclear option in 2013
SARCASM,so i am going to reply to her about the government doe not rescue thing can not believe that the uber lyft thing ha now spread like that
SARCASM,i can see is a clear present danger
SARCASM,wow she really doe just repeat what others tell her i know she s joking so ami
SARCASM,what utter drivel sturgeon ha the nerve to use the word democracy oh the
SARCASM,sorry thought you catholic had a sense of humor
SARCASM,it indian cricket council if i am not wrong
SARCASM,bravo grofers for an amazing customer service i tried talking to them second time a i thought may be it is my money only i need to bother grofers is giving just free of cost product which is my need so i need to listen i m getting money to buy product gr of er
SARCASM,wait your logical normal explanation doesn t fit this line of subtle attack by an impartial journalist on a candidate that ha a boring record but is appealing to a lot of voter oh that s right he s gay and white
SARCASM,sound exactly like the way trump deal with reporter doe not it
SARCASM,this wa 31 only 4 month ago today 125 and now people are interested in buying this after a 300 return in 4 month got to love the enthusiasm out there
SARCASM,i am using the last nyt i will ever buy a crap liner in parrot cage the
SARCASM,we do not spare kid of religion caste violence bollywood sex etc why spare them politics let u go all the way because most people do not get it
SARCASM,i think you just got a rt from respect
SARCASM,i do so hope that is meant to be sarcastic you crazy apocalyptic musician
SARCASM,he did not support gay marriage in the 2008 campaign nor did clinton if you remember hypocritical
SARCASM,you mean just like is sucking up to
SARCASM,what irks me the fact that he did not sound intelligent in front of the intelligence community
SARCASM,they are oblivious they could not possibly have stoked these flame
SARCASM,is not muhammed considered the great deceiver to satan in christian bible i do not trust them
SARCASM,a we all know liberal and democrat are time traveling warlock that feast on baby for their power so it make sense that we would not be able to see them on the video yep
SARCASM,comment like this show lack of functioning brain cell
SARCASM,try next time hard to tell these day
SARCASM,so i can not access a video about voting barrier because of lack of caption
SARCASM,exactly cuban are being targeted while islamist are building mosque unlimited under obama
SARCASM,load of passion but still need three alarm cloc
SARCASM,thinking the whole time mcconnell is the one keeping obamacare alive
SARCASM,of course if suggestion wa ironic i will only follow ironically
SARCASM,can not agree mor rohingya menace in jmu is sabotage 2 d ppl f jmu he is d mastermind f demographic invasion f jmu v d nationalist bt innocent ppl f jmu wr made 2 believe rejoice tht hez ist jmu cm he damaged jmu because mor than any 1 else
SARCASM,give him a break he suffered a heart attack
SARCASM,the good news he won t complain about how sore he is all week after putting this up
SARCASM,their language defines their narrative acc to them aleppo ha fallen while palmyra is retaken syria
SARCASM,bush wa cheney s puppet crooked donald will b putin whod known we would call cheney one of the good guy
SARCASM,richard spencer wa talking about the lying medium distorting reality with headline like this
SARCASM,surprising we can not find a middle ground with mile and mile of space in the middle you would think it be easy to find
SARCASM,yes it is stop doing exactly what you are demanding the senator stop doing
SARCASM,of course they do not they collected 1g a seat from their diverse viewer the elite
SARCASM,especially with all the focus the medium put on the victim instead of email
SARCASM,you do not think a peru bank is going to do the trick
SARCASM,may 13 2010 wa a very sad day for mothership fan guess a good day for svu cast crew though
SARCASM,that sounded a bit creepy now i am panicking you think i might be a stalker mental health
SARCASM,surely cameron get suspended too i mean he orchestrated every thing right
SARCASM,i wa set to fly to playa del carmen dec 1996 from my new city we sat on the snowy tarmac for hour then were told to go home and come back the next day eventually made it to playa but the wasn t lost on me snowpocalypse2020
SARCASM,if you d taken out all the tree instead of hugging them then there d be no fire stay safe come together fuck murdoch
SARCASM,and yet you are the one who refuse to acknowledge the result of our election s lack of self awareness
SARCASM,sad you had to add can we get off this ride yet
SARCASM,you will not defend your because but you will criticize other woman who are brave enough to stand for what they believe
SARCASM,like i do not like using people appearance to insult it is petty distracts from the real evil they have done but
SARCASM,can not wait until they have to petition the european court of justice
SARCASM,i tried to submit for a refund while on the flight but the wifi wa not good enough to let me
SARCASM,paciorrety ha to hone his defensive play before getting promoted
SARCASM,this is one of those tweet that did not come across a intended is not it where you needed the
SARCASM,i am 49 and i have just asked working class people do they know poshpainter they said only via owen jones
SARCASM,perhaps i should have added i really did not think it wa necessary
SARCASM,should be i guess that it is you who not that
SARCASM,on the other hand bloomberg obviously is concerned michael bloomberg owns 3 plane 2 helicopter 6 boat 11 house 42 car yet suggests we should all take the bus to help fight climate change
SARCASM,disgusting and ur tweet is actually what scum would write
SARCASM,it s etc short for et cetera meaning and the rest don t worry about latin anyway legaltips it s a dead language democrat are dull witted
SARCASM,saddam wa more evil more powerful and more dangerous removing him with any kind of strategy must be beneficial to america and saving american life
SARCASM,saw something like that finally misspelled du bois a de bois just after one on sign of bullying
SARCASM,i forgot to add in there that is what i get for typing on my phone
SARCASM,you say he is a simpleton yet your grammar suggests you are a bigger simpleton salty
SARCASM,the fact that the one person who could have ensured a fair trial with witness and evidence is complaining about fairness after he ordered witness to not testify
SARCASM,uh oh wa too un pc for you do you need a pro safe space to protect your feeling
SARCASM,you idiot doe not care about hispanic he will call you an anchor baby but by all mean support him
SARCASM,funny you should mention fear she is known for the poem our greatest fear about acting from power instead of fear
SARCASM,if the crusade were so long ago than do not bring up jesus since we are talking shelf life
SARCASM,note to myself when trying to be funny add an hashtag
SARCASM,you re right corruption started in january of 2017 my bad
SARCASM,where is the empirical evidence that they did even if you produce some there r ppl that will deny it m robert is a loony
SARCASM,she forgets how trumble hung off packer coat tail
SARCASM,thanks sweetie i am from salem area you you were so funny we have similar personality got to love it
SARCASM,enjoying the of this citation paywall exclusion ha always been a major hindrance to tackling climate change denial agn otology climate emergency
SARCASM,for that you would get serious jail time
SARCASM,show how much the poor bloke needed a holiday he wa not even thinking straight
SARCASM,you mean like melania did worked here without the proper visa then lie about it
SARCASM,no more than the word crooked collaborate or traitor in chief
SARCASM,i can not believe they traded for that guy gave up way too much
SARCASM,of mizzou fan worry about ku football because they have nothing to speak about w their team
SARCASM,say the guy who declared there is no evidence then asked to peer review it
SARCASM,a farewell address and the last scheduled conference are two different thing
SARCASM,give every child a jar of jelly bean the one that horde them to themselves identify a conservative and they are not to be made fun of ok the one that share with others are liberal and they are fair game for teasing regardless of age
SARCASM,these woman completely lack attractive feminine feature why do most feminist resemble men
SARCASM,it wa also checked to eliminate the same synonym
SARCASM,nope look like i deleted dropbox from my phone due to storage issue
SARCASM,i like to leave fragment lying about for others to find and identify
SARCASM,so now we just have the biggest elitist of all running the country
SARCASM,dude dressed to the nine will cry gold digger if woman pursued assumed they have big money
SARCASM,got a car using mobile phone and computer then whinging about coal your lifestyle is powered by petroleum mate yet you do not say no to computer
SARCASM,there is not any he know that that wa the point check out a man life b4 assuming you know him ffs
SARCASM,some tuam baby maybe alive yet in it place pp sell baby part instead which repeal the 8th support
SARCASM,lucky you got that citizenship sorted out next offense they might throw you out
SARCASM,it always amuses me greatly how trans want people to accept them for who they are yet can t even accept themselves for who they are hypocrite stunning and brave
SARCASM,but but they also rx sglt 2i and or dpp 4i so high carb ok
SARCASM,fan fact the station is on the isle of dog ironic alanis morrisette moment
SARCASM,when the girl who worship ravana propagate anarchy saw ravana in real life forgot their revolution for anarchy went to police
SARCASM,yup if that happened in game 6 this conversation would not be happening
SARCASM,i do not know guy the guy with 2000 atbats ha not had enough time in the show to reveal his true color
SARCASM,and coon are brown black wear a mask you ppl are idiot no able to see the of this
SARCASM,who us stop well at least no one here on twitter lol
SARCASM,i liked that he covered his face with a scarf on way out of court
SARCASM,naive opinion of what the campaign ran ran on hope and change then screwed u
SARCASM,woman strive 2b treated a equal not just housewife you all counter w shopping boycott dumbass
SARCASM,big fan of asset sale management but you should keep your sporting political allegiance to yourself
SARCASM,the she is afraid to go to saudi co she is anti hejab and a lot of moslem woman afraid to go to the co of anti hejab
SARCASM,hey i really think not that because season 1 is the best thing ever so that he got something better to do
SARCASM,i forgot the cake and now i am in the dog house
SARCASM,are person with autism even sentient at all
SARCASM,except he didn t say a death wish did he
SARCASM,yeah obviously i had to cushion my laudatory oasis take in not one but two your da joke
SARCASM,when lit all trump product are made there
SARCASM,so he refers to her a angry c nty and stupid while simultaneously accusing others of being hate filled
SARCASM,say the person singlehandedly defending ben on every tweet
SARCASM,remainers were even more clear about what leave meant
SARCASM,a a 100 brexiteer i have been won over with your eloquent and sophisticated campaign
SARCASM,what a sicko actually asking for a kiss instead of just getting it over with and kissing
SARCASM,i commented you continue with hate and speaking of bubble hillary is about to pop
SARCASM,say the woman who is not white and her last name is not smith immigrant
SARCASM,yeah so self destructive multi billionaire president elect election hangover
SARCASM,when dgse collapse everyone will assume it is due to an exogenous shock not it own inherent failing
SARCASM,good observation but this made in america social channel will allow the boycott usa to gain strength
SARCASM,oh no you re right i mean the abc ha not been providing service to people living in the bushfire area have they
SARCASM,no we must only think one way anyone who disagrees with me is worse than pond scum and should be launched into the sun
SARCASM,you have embraced trumpism but it is who fell for the con now that is
SARCASM,because you probably will not be able to see these tweet
SARCASM,most of my guy in the builiding trade are non uk national
SARCASM,what a bullshit argument smh you claim to be about no bullshit too
SARCASM,notice the rioter never riot in the suburb they riot in the democratically controlled urban area
SARCASM,yeah i probably should have included in previous tweet
SARCASM,right there w using a private email server being nominated for potus then having ur party email hacked by russia
SARCASM,but for any man who step over the patriarchical beauty ideal thrust upon men by the beauty industry that apart from just a bigger layer of fat these obese woman are just a high quality a top tier woman
SARCASM,we simply want to be left alone to live work they want to not leave u alone but to control u the
SARCASM,and the a tudents y elder mother doing it peacefully all these day
SARCASM,you could argue he saved lfc many of the people who came together to oust him were the same who forced gillette hick out
SARCASM,truth monkey refuse to use his real name
SARCASM,you look triggered after someone criticizes me are conservative skeptic of ppl in power
SARCASM,i have spent a few day in the uk and let me tell you i am lucky i survived you can not walk anywhere without getting splashed with hot tea hit with a footie ball or trampled by a knight on horseback so many peril
SARCASM,joining the communist party like trump you mean
SARCASM,it s not stupid nor bias to share a thoughtful reflection on a moment in time it is to dismiss it a stupidity
SARCASM,won t we be able to see tweet once we leave europe
SARCASM,i take that back someone got a garden salad with thousand island and bowl of chowder tonight
SARCASM,why did not you express this view 2 obama 8yrs ago when he still disagreed w gay marriage
SARCASM,horse apple united europe is a failed experiment and wa always destined to be europe is too diverse
SARCASM,he did not use the word massacre but because his statement wa a fake news a bowling green it wa added because
SARCASM,i know shocking right accusing u of being close minded xenophobes while systematically abusing u
SARCASM,you jump in to a convo to police other people opinion about tv
SARCASM,because that is what obama told everyone but now you blame the republican that is rich w history
SARCASM,whoa slow down is this why my internet is slow you are hogging it all up
SARCASM,she ironically is in rehab you cruel frien
SARCASM,or that they want to replace flynn with a man who plead guilty for mishandling classified doc hypocrisy meet
SARCASM,virgin airline do not help but then neither do the tory party
SARCASM,are you really that ignorant smh interesting too that you are calling the church a liar when in fact you support a wh guy who ha lied over 15000 time since setting foot in the wh talk about and idio cracy and a convoluted sense of no value
SARCASM,sick burn i think i will stick to mocking trump cultist sheep it is more fun
SARCASM,the is that the democrat do not realize that by embracing liberal fascism they are signing their own death
SARCASM,hey hey hey the candidate should not be talking abt fact
SARCASM,rallied only pointed out the of inequality reversed glass ceiling
SARCASM,i just tweeted the prior note a home away commercial come on
SARCASM,it is funny because a fb page with fdr picture is reacting to internment camp threat
SARCASM,is a much a hysterical reactionary idiot a any democrat of the 19th century gop party of lincoln democrat enjoy
SARCASM,aw cheer yes i am way more humble than all those other bastard
SARCASM,if you cared about truth you would have never sent this tweet that is what is so amusing about it hypocrisy
SARCASM,and what would a big issue seller have against socialism and empathy
SARCASM,everyone scott included the laughing emoji with tear clearly he did not really mean what he wrote passive aggressive keyboard warrior
SARCASM,judging by your grammar your own english is very poor do not betrayed
SARCASM,please read your own tweet back to yourself really slowly repeat until you have urge to bang head on desk
SARCASM,update it is just a broken user profile bad news the create new user option is one of the thing that doe not work good news i would created an account for my daughter year ago logged in with that and everything work great now to get my profile fixed replaced
SARCASM,the speech wa about giving up access to yr biggest market which tm say is good for uk bad for scotland
SARCASM,don t tell lie on the man now lol he beat a corpse i mean a man in his 3rd pro fight who wa 14 3 1 which turn out to be the best opponent statistically he s fought to date
SARCASM,of course it is still possible for the referendum to take place on 23 april the 97th anniversary of parliament foundation
SARCASM,but but but hillary used a private email server took money 4 speech drain the swamp
SARCASM,you re so brainwashed and hateful yet you talk about knowledge
SARCASM,so their leak make them patriot cool so now by default wikileaks is the paradigm of patriotism
SARCASM,what is this unpatriotic attitude trump will make america great again no need to save gop
SARCASM,those who themselves can not understand r calling others jackass
SARCASM,but brum is handier for me than london can stay over with ukip dad
SARCASM,say the naxalite in chief of india comrade just killed itself
SARCASM,haha bureaucrat say the former d c duncan mouthpiece bureaucrat oh the
SARCASM,your candidate like your show is a loser btw you put trump in the wh by goading him the correspondence dinner
SARCASM,or how about they are substantiated claim look like trump is the one under investigation now
SARCASM,uff i am so releaved i thought we might have real problem so here we just need some more preventive policing and putting all left wing green antifa weirdo away that should do the trick and everything is back to normal right
SARCASM,i honestly thought brit are more educated lol most no nothing aside football and brexit you mean most know nothing educated go back to school
SARCASM,moronic flat der per refers to actual intelligent people a retarded
SARCASM,bro heard of butterfly effect btw the tweet wa a joke chill man
SARCASM,if br exit wa a protest vote against the establishment why is it that the deepest established of all are getting to it do their way
SARCASM,and the award for i do not get go to
SARCASM,but it is all due to obama the man who could not envision these outcome by his own admission somehow stumbled upon the policy that are producing these result according to the left
SARCASM,i did not have enough character left to add lol
SARCASM,and while they are at it teacher should also split themselves in two so they can monitor and provide support to both group at the same time or you know support our school give them the money they need to hire teacher and increase infrastructure able g
SARCASM,no one should be attacked for their view except for the liberal that you scorn
SARCASM,thanks for the like seems my original tweet ha been removed not so charitable
SARCASM,say the person touting phd but can not spell and lack critical thinking skill
SARCASM,theresa may wa not elected 75 did not vote for them and 29 tory being investigated for tory election fraud
SARCASM,ben carson can not tell apart a tomb from a silo becomes the u secretary of housing and urban development
SARCASM,i agree user rating number are a shamble i sent an email to you on my new phone so not sure it even went through possibly
SARCASM,wow social team is just amazing so responsive to their customer really make me want to go out and spend another 700 on a suitcase that may or may not make it all the way to my destination in one piece missed opportunity wtf
SARCASM,that is true unfortunately devs are not taught empathy we like to take fast gain in short term and big loss in long
SARCASM,you seem like someone who doe not smile enough especially when told to do so
SARCASM,great now i can watch sky cast version neat
SARCASM,but you did read it and bothered tweeting about it
SARCASM,you call others racist demean their intelligence yet spew anti black rhetoric while not understanding basic math
SARCASM,lmao now use that pseudo logic on trump s refusal to cooperate with myriad investigation
SARCASM,gee and all under the leadership of the deceitful secretive machiavellian i wish he wa back
SARCASM,yes keep running it till you get the answer you want oh wait br exit shamble
SARCASM,love how you write about the coup in your article but don t mention the electoral fraud are you trying to report the truth or just what is convenient to you there wa no coup a power greedy autocrat wa overthrown
SARCASM,so if this were actually avenger endgame you are all on the side that lost
SARCASM,so the premiere symbol of nazi engineering the volkswagen ha become the target of people that love nazi germany
SARCASM,1 i know in alt reality speaking unflattering inconvenient truth about team trump hate but is
SARCASM,the youtuber in question channel is literally here this place i went to and some interesting fact about it
SARCASM,and country w o tax and regulation infrastructure r likely to solicit travel ban
SARCASM,but why call him up to the big club
SARCASM,hey do not tell me what make a fascist you fascist
SARCASM,calling others gullible when you believed trump would drain the swamp and build a wall
SARCASM,it is discipline for alexis being selfish and making it all about him
SARCASM,think so australia ha a similar program a well i believe like the one the ont teacher pension fund invested in
SARCASM,i love the fact that your profile photo is orson welles a self proclaimed progressive leftist
SARCASM,we could have 55 point when we go to castle greyskull
SARCASM,the guy who repeatedly said the election wa rigged object to a recount to see if it wa rigged
SARCASM,oh tom with all due and more importantly earned respect
SARCASM,you actually tweeted this nonsense and spoke of backward people
SARCASM,taken too much time pointing out in the play and should focus on of trump asking for civility
SARCASM,your blind belief in every word trump speaks is the definition of sheep
SARCASM,research would have proven fred to be either a incapable of googling or b spreading falsehood on purpose
SARCASM,i am sure the news will be full of huge crowd at the door and people fighting over the latest gizmo
